"Payment_Behaviour","Outstanding_Debt","Amount_invested_monthly","Num_of_Delayed_Payment","Interest_Rate","Total_EMI_per_month","Payment_of_Min_Amount","Monthly_Balance","Num_Bank_Accounts","Num_Credit_Inquiries","Annual_Income","Num_of_Loan","Num_Credit_Card","Changed_Credit_Limit","Age","Monthly_Inhand_Salary","Credit_Utilization_Ratio","Credit_Score","Credit_History_Age","Delay_from_due_date"
"High_spent_Medium_value_payments",809.98,80.4152954390025,7,3,49.5749492148942,"No",312.494088679437,3,4,19114.12,4,4,11.27,23,1824.84333333333,26.822619623699,"Good",265,3
"High_spent_Medium_value_payments",809.98,118.280221622367,7,3,49.5749492148942,"No",284.629162496072,3,4,19114.12,4,4,11.27,23,1824.84333333333,31.9449600553842,"Good",265,3
"High_spent_Medium_value_payments",809.98,81.699521264648,7,3,49.5749492148942,"No",331.209862853791,3,4,19114.12,4,4,11.27,23,1824.84333333333,28.6093520220699,"Good",267,3
"High_spent_Medium_value_payments",809.98,199.458074391071,4,3,49.5749492148942,"No",223.451309727368,3,4,19114.12,4,4,11.27,23,1824.84333333333,31.3778618695824,"Good",268,5
"High_spent_Medium_value_payments",809.98,41.4201530862173,4,3,49.5749492148942,"No",341.489231032222,3,4,19114.12,4,4,11.27,23,1824.84333333333,24.797346908845,"Good",269,6
"High_spent_Medium_value_payments",809.98,62.4301723311953,4,3,49.5749492148942,"No",340.479211787244,3,4,19114.12,4,4,11.27,23,1824.84333333333,27.2622587105202,"Good",270,8
"High_spent_Medium_value_payments",809.98,178.344067412235,8,3,49.5749492148942,"No",244.565316706204,3,4,19114.12,4,4,11.27,23,1824.84333333333,22.5375930317838,"Good",271,3
"High_spent_Medium_value_payments",809.98,24.7852165090521,6,3,49.5749492148942,"No",358.124167609387,3,4,19114.12,4,4,11.27,23,1824.84333333333,23.9337948019655,"Standard",271,3
"High_spent_Large_value_payments",605.03,104.291825168246,4,6,18.8162145731289,"No",470.690626925292,2,2,34847.84,1,4,5.42,28,3037.98666666667,24.4640306375846,"Standard",319,3
"High_spent_Large_value_payments",605.03,40.391237828531,1,6,18.8162145731289,"No",484.591214265007,2,2,34847.84,1,4,5.42,28,3037.98666666667,38.5508484339563,"Good",320,7
"High_spent_Large_value_payments",605.03,58.5159756958947,1,6,18.8162145731289,"No",466.466476397643,2,2,34847.84,1,4,5.42,28,3037.98666666667,33.2249507866366,"Standard",321,3
"High_spent_Large_value_payments",605.03,99.3062279605331,3,6,18.8162145731289,"No",465.676224133005,2,2,34847.84,1,4,5.42,28,3037.98666666667,39.1826556554688,"Good",322,3
"High_spent_Large_value_payments",605.03,130.115420242923,1,6,18.8162145731289,"No",444.867031850614,2,2,34847.84,1,4,5.42,28,3037.98666666667,34.9778947470924,"Good",323,3
"High_spent_Large_value_payments",605.03,43.4771901443557,0,6,18.8162145731289,"No",481.505261949182,2,2,34847.84,1,4,5.42,28,3037.98666666667,33.3810102006506,"Good",324,3
"High_spent_Large_value_payments",605.03,70.1017742075568,4,6,18.8162145731289,"NM",464.880677885981,2,2,34847.84,1,4,5.42,28,3037.98666666667,31.1317016115533,"Good",325,3
